DATE,PAYS,CODE_POSTAL,LOCALITE,LANGUE1,LANGUE2,LANGUE3,LANGUE4,LANGUE5,COMMENT_NOUS_AVEZ-VOUS_DECOUVERT,MIN,KM
25/11/2017,LUX,8364,HAGEN,ALLEMAND,FRANCAIS,,,,INTERNET,25,19
27/11/2017,LUX,3945,MONDERCANGE,ALLEMAND,LUXEMBOURGEOIS,FRANCAIS,,,B.A.O.,12,13
30/11/2017,LUX,8399,WINDHOF,ALLEMAND,LUXEMBOURGEOIS,FRANCAIS,,,B.A.O.,66,87
16/12/2017,DEU,66424,HOMBURG,ALLEMAND,,,,,INTERNET,143,132
17/12/2017,LUX,2146,LUXEMBOURG,ALLEMAND,POLONAIS,PORTUGAIS,,,INTERNET,23,26
17/12/2017,LUX,66706,PERL,ALLEMAND,LUXEMBOURGEOIS,,,,INTERNET,32,44
18/12/2017,LUX,4989,SANEM,ALLEMAND,FRANCAIS,,,,ECOLE,7,6
19/12/2017,LUX,5430,LENNINGEN,ALLEMAND,,,,,B.A.O.,35,45
19/12/2017,LUX,8356,GARNICH,ALLEMAND,FRANCAIS,,,,ECOLE,21,14
19/12/2017,LUX,4395,PONTPIERRE,ALLEMAND,FRANCAIS,,,,ECOLE,12,14
19/12/2017,LUX,4448,SOLEUVRE,ALLEMAND,FRANCAIS,,,,B.A.O.,6,4
20/12/2017,LUX,3541,DUDELANGE,ALLEMAND,FRANCAIS,,,,FACEBOOK,19,23
23/12/2017,LUX,4985,SANEM,ALLEMAND,FRANCAIS,LUXEMBOURGEOIS,,,FACEBOOK,7,6
23/12/2017,LUX,5375,SCHUTTRANGE,ALLEMAND,LUXEMBOURGEOIS,,,,PUB,30,42
27/12/2017,LUX,4521,DIFFERDANGE,ALLEMAND,LUXEMBOURGEOIS,,,,B.A.O.,5,4
27/12/2017,FRA,54590,HUSSIGNY,ALLEMAND,FRANCAIS,ANGLAIS,,,INTERNET,15,10
27/12/2017,LUX,4888,LAMADELAINE,ALLEMAND,LUXEMBOURGEOIS,FRANCAIS,,,B.A.O.,13,8
27/12/2017,LUX,2624,LUXEMBOURG,ALLEMAND,LUXEMBOURGEOIS,,,,B.A.O.,23,26
27/12/2017,LUX,2624,LUXEMBOURG,ALLEMAND,LUXEMBOURGEOIS,,,,CULTURE,23,26
27/12/2017,LUX,8241,MAMER,ALLEMAND,HONGROIS,ANGLAIS,,,INTERNET,24,19
27/12/2017,LUX,4757,PETANGE,ALLEMAND,PORTUGAIS,ANGLAIS,,,B.A.O.,9,6
27/12/2017,BEL,4980,RECKANGE-SUR-MESS,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,,,FACEBOOK,16,12
27/12/2017,DEU,53842,TROISDORF,ALLEMAND,PORTUGAIS,UKRAINIEN,RUSSE,,TOURISME ,150,246
27/12/2017,LUX,7224,WALFERDANGE,ALLEMAND,PORTUGAIS,RUSSE,,,ECOLE,28,34
28/12/2017,LUX,5488,EHNEN,ALLEMAND,PORTUGAIS,FRANCAIS,LUXEMBOURGEOIS,,ENTREPRISE,39,47
28/12/2017,FRA,57290,FAMECK,ALLEMAND,PORTUGAIS,FRANCAIS,LUXEMBOURGEOIS,,AMIS,36,52
28/12/2017,NLD,1221,LUXEMBOURG,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,,,INTERNET,23,26
28/12/2017,GBR,NE24ZEX,N/A,ALLEMAND,PORTUGAIS,ANGLAIS,,,INTERNET,,
29/12/2017,LUX,5720,ASPELT,ALLEMAND,PORTUGAIS,FRANCAIS,LUXEMBOURGEOIS,,MEDIA,23,31
29/12/2017,DEU,54450,AVRICOURT,ALLEMAND,PORTUGAIS,RUSSE,,,INTERNET,101,151
29/12/2017,LUX,6830,BERBOURG,ALLEMAND,PORTUGAIS,RUSSE,LUXEMBOURGEOIS,,MEDIA,41,57
29/12/2017,LUX,4970,BETTANGE-SUR-MESS,ALLEMAND,PORTUGAIS,FRANCAIS,LUXEMBOURGEOIS,,INTERNET,17,14
29/12/2017,LUX,8812,BIGONVILLE,ALLEMAND,PORTUGAIS,FRANCAIS,LUXEMBOURGEOIS,,MEDIA,46,49
29/12/2017,LUX,8293,Keispelt,ALLEMAND,PORTUGAIS,NEERLANDAIS,,,INTERNET,31,40
29/12/2017,LUX,3350,LEUDELANGE,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,,,B.A.O.,16,19
29/12/2017,LUX,3347,LEUDELANGE,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,,,INTERNET,16,19
29/12/2017,LUX,3354,LEUDELANGE,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,,,ECOLE,16,19
29/12/2017,LUX,1895,LUXEMBOURG,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,,,B.A.O.,23,26
29/12/2017,GBR,M242JE,N/A,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,ANGLAIS,,TOURISME ,,
29/12/2017,LUX,3836,SCHIFFLANGE,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,,,CULTURE,13,13
31/12/2017,FRA,59200,TOURCOING,ALLEMAND,PORTUGAIS,,,,INTERNET,185,310
19/12/2017,LUX,4053,ESCH-SUR-ALZETTE,ALLEMAND ,PORTUGAIS,,,,B.A.O.,11,10
13/10/2017,LUX,4660,DIFFERDANGE,ANGLAIS,PORTUGAIS,FRANCAIS,LUXEMBOURGEOIS,,,5,4
14/10/2017,LUX,8060,BERTRANGE,ANGLAIS,,,,,,24,20
14/10/2017,LUX,6122,JUNGLINSTER,ANGLAIS,,,,,,31,43
14/10/2017,LUX,1912,Luxembourg,ANGLAIS,,,,,,23,26
16/10/2017,FRA,55470,SAUDRUPT,ANGLAIS,FRANCAIS,,,,PRESSE,122,134
21/10/2017,LUX,4462,BELVAUX,ANGLAIS,NEERLANDAIS,,,,FACEBOOK,8,5
22/10/2017,FRA,57290,FAMECK  SEREMANGE,ANGLAIS,FRANCAIS,,,,B.A.O.,36,52
22/10/2017,LUX,1649,Luxembourg,ANGLAIS,ITALIEN,,,,B.A.O.,23,26
22/10/2017,LUX,9545,WILTZ,ANGLAIS,FRANCAIS,ITALIEN,,,FACEBOOK,50,64
23/10/2017,LUX,8135,BRIDEL,ANGLAIS,,ITALIEN,,,B.A.O.,23,31
23/10/2017,LUX,8352,DAHLEM,ANGLAIS,,,,,B.A.O.,17,16
23/10/2017,LUX,2535,Luxembourg,ANGLAIS,,,,,B.A.O.,23,26
24/10/2017,FRA,57270,RICHEMONT  UCKANGE,ANGLAIS,FRANCAIS,ARABE,,,FACEBOOK,36,54
24/10/2017,ITA,10036,SETTIMO TORINESE,ANGLAIS,,ITALIEN,,,TOURISME ,,
26/10/2017,DEU,33610,N/A,ANGLAIS,,ALLEMAND,,,TOURISME ,,
28/10/2017,LUX,7213,BERELDANGE,ANGLAIS,,ALLEMAND,,,FACEBOOK,26,33
28/10/2017,LUX,8063,BERTRANGE,ANGLAIS,NORVEGIEN,ALLEMAND,,,FACEBOOK,24,20
28/10/2017,LUX,2518,Luxembourg,ANGLAIS,LITUANIEN,ALLEMAND,,,PRESSE,23,26
28/10/2017,LUX,1948,Luxembourg,ANGLAIS,,ALLEMAND,,,FACEBOOK,23,26
28/10/2017,GBR,TW14RG,N/A,ANGLAIS,,ALLEMAND,,,FACEBOOK,,
29/10/2017,LUX,8055,BERTRANGE,ANGLAIS,PORTUGAIS,ALLEMAND,,,B.A.O.,24,20
29/10/2017,LUX,4665,DIFFERDANGE,ANGLAIS,RUSSE,ALLEMAND,,,FACEBOOK,5,4
29/10/2017,LUX,6722,GREVENMACHER,ANGLAIS,RUSSE,FRANCAIS,ROUMAIN,,FACEBOOK,34,53
29/10/2017,LUX,7251,HELMSANGE,ANGLAIS,LITUANIEN,FRANCAIS,,,PRESSE,31,41
29/10/2017,LUX,2423,Luxembourg,ANGLAIS,,,,,FACEBOOK,23,26
29/10/2017,LUX,2629,Luxembourg,ANGLAIS,FRANCAIS,,,,FACEBOOK,23,26
29/10/2017,LUX,1457,Luxembourg,ANGLAIS,LITUANIEN,FRANCAIS,,,FACEBOOK,23,26
29/10/2017,ROU,16320,N/A,ANGLAIS,ROUMAIN,FRANCAIS,,,FACEBOOK,,
29/10/2017,LUX,8024,STRASSEN,ANGLAIS,LITUANIEN,FRANCAIS,,,FACEBOOK,19,26
30/10/2017,LUX,8079,BERTRANGE,ANGLAIS,LUXEMBOURGEOIS,,,,FACEBOOK,24,20
30/10/2017,LUX,7335,HEISDORF,ANGLAIS,LUXEMBOURGEOIS,,,,FACEBOOK,31,36
01/11/2017,LUX,8055,BERTRANGE,ANGLAIS,,FRANCAIS,,,INTERNET,24,20
01/11/2017,LUX,5407,BOUS,ANGLAIS,BULGARE,FRANCAIS,,,PRESSE,31,40
01/11/2017,LUX,5239,SANDWEILER,ANGLAIS,NEERLANDAIS,FRANCAIS,,,FACEBOOK,24,33
02/11/2017,BEL,6721,Habay,ANGLAIS,FRANCAIS,,,,FACEBOOK,36,40
04/11/2017,LUX,4394,PONTPIERRE,ANGLAIS,FRANCAIS,,,,ECOLE,12,14
05/11/2017,FRA,57300,HAGONDANGE,ANGLAIS,FRANCAIS,,,,B.A.O.,37,57
05/11/2017,LUX,1618,Luxembourg,ANGLAIS,ROUMAIN,FRANCAIS,,,INTERNET,23,26
11/11/2017,LUX,8096,BERTRANGE,ANGLAIS,,,,,INTERNET,24,20
11/11/2017,LUX,2231,Luxembourg,ANGLAIS,,,,,INTERNET,23,26
11/11/2017,LUX,2504,LUxembourg,ANGLAIS,,FRANCAIS,,,INTERNET,23,26
11/11/2017,LUX,3940,MONDERCANGE,ANGLAIS,,,,,B.A.O.,12,13
12/11/2017,CHE,,N/A,ANGLAIS,SUEDOIS,,,,FACEBOOK,,
12/11/2017,LUX,5376,UEBERSYREN,ANGLAIS,SUEDOIS,FRANCAIS,,,FACEBOOK,29,41
18/11/2017,LUX,5376,UEBERSYREN,ANGLAIS,FRANCAIS,,,,FACEBOOK,29,41
19/11/2017,LUX,3373,LEUDELANGE,ANGLAIS,FRANCAIS,,,,B.A.O.,16,19
19/11/2017,LUX,1117,Luxembourg,ANGLAIS,POLONAIS,HONGROIS,,,AMIS,23,26
26/11/2017,FRA,57440,ALGRANGE,ANGLAIS,FRANCAIS,,,,B.A.O.,35,47
02/12/2017,LUX,3572,DUDELANGE,ANGLAIS,LUXEMBOURGEOIS,,,,ENTREPRISE,19,23
02/12/2017,LUX,1457,Luxembourg,ANGLAIS,ROUMAIN,,,,INTERNET,23,26
14/12/2017,LUX,8008,STRASSEN,ANGLAIS,LUXEMBOURGEOIS,FRANCAIS,,,INTERNET,19,26
15/12/2017,LUX,8239,MAMER,ANGLAIS,ESNISH,,,,B.A.O.,24,19
16/12/2017,LUX,1309,LUXEMBOURG,ANGLAIS,HEBREU,FRANCAIS,,,B.A.O.,23,26
18/12/2017,LUX,8081,BERTRANGE,ANGLAIS,,,,,B.A.O.,24,20
20/12/2017,FRA,57240,KNUTANGE,ANGLAIS,FRANCAIS,ITALIEN,,,FACEBOOK,33,36
21/12/2017,LUX,4613,DIFFERDANGE,ANGLAIS,,,,,B.A.O.,5,4
21/12/2017,LUX,5427,GREIVELDANGE,ANGLAIS,,,,,B.A.O.,35,46
24/12/2017,LUX,8010,STRASSEN,ANGLAIS,,,,,PRESSE,19,26
27/12/2017,LUX,4925,BASCHARAGE,ANGLAIS,FRANCAIS,,,,FACEBOOK,10,9
27/12/2017,LUX,8077,BERTRANGE,ANGLAIS,BULGARE,,,,ECOLE,24,20
27/12/2017,LUX,6770,GREVENMACHER,ANGLAIS,ROUMAIN,,,,INTERNET,34,53
27/12/2017,LUX,7650,HEFFINGEN,ANGLAIS,FRANCAIS,LUXEMBOURGEOIS,,,ECOLE,39,51
27/12/2017,BEL,6761,Latour,ANGLAIS,FRANCAIS,,,,INTERNET,32,33
27/12/2017,LUX,8291,MEISPELT,ANGLAIS,,,,,INTERNET,31,40
27/12/2017,LUX,5337,MOUTFORT,ANGLAIS,ROUMAIN,,,,PRESSE,26,37
27/12/2017,ITA,43450,N/A,ANGLAIS,ITALIEN,,,,INTERNET,,
27/12/2017,LUX,6919,ROODT-SUR-SYRE,ANGLAIS,ROUMAIN,,,,FACEBOOK,32,45
28/12/2017,LUX,4925,BASCHARAGE,ANGLAIS,FRANCAIS,,,,INTERNET,10,9
28/12/2017,LUX,9633,BASCHLEIDEN,ANGLAIS,LUXEMBOURGEOIS,,,,MEDIA,56,60
28/12/2017,LUX,8052,BERTRANGE,ANGLAIS,LUXEMBOURGEOIS,,,,ENTREPRISE,24,20
28/12/2017,LUX,3279,BETTEMBOURG,ANGLAIS,FRANCAIS,,,,INTERNET,18,20
28/12/2017,LUX,4662,DIFFERDANGE,ANGLAIS,FRANCAIS,,,,FACEBOOK,5,4
28/12/2017,FRA,21000,DIJON,ANGLAIS,FRANCAIS,,,,B.A.O.,201,337
28/12/2017,LUX,3358,LEUDELANGE,ANGLAIS,FRANCAIS,ALLEMAND,,,B.A.O.,16,19
28/12/2017,LUX,2628,LUXEMBOURG,ANGLAIS,FRANCAIS,,,,INTERNET,23,26
28/12/2017,DEU,54453,NITTEL,ANGLAIS,ALLEMAND,,,,INTERNET,39,58
28/12/2017,LUX,3853,SCHIFFLANGE,ANGLAIS,FRANCAIS,,,,MEDIA,13,13
29/12/2017,DEU,10555,BERLIN,ANGLAIS,RUSSE,,,,B.A.O.,,
29/12/2017,LUX,3583,DUDELANGE,ANGLAIS,LUXEMBOURGEOIS,,,,ECOLE,19,23
29/12/2017,FRA,57970,ILLANGE,ANGLAIS,FRANCAIS,,,,FACEBOOK,31,47
29/12/2017,LUX,1541,LUXEMBOURG,ANGLAIS,FRANCAIS,LUXEMBOURGEOIS,,,FACEBOOK,23,26
29/12/2017,LUX,1880,LUXEMBOURG,ANGLAIS,FRANCAIS,,,,B.A.O.,23,26
29/12/2017,LUX,1371,LUXEMBOURG,ANGLAIS,,,,,MEDIA,23,26
29/12/2017,LUX,4781,PETANGE,ANGLAIS,HONGROIS,,,,CURIOSITE,9,6
29/12/2017,LUX,4991,SANEM,ANGLAIS,LUXEMBOURGEOIS,,,,B.A.O.,7,6
29/12/2017,LUX,9131,SCHIEREN,ANGLAIS,ALLEMAND,,,,INTERNET,41,62
29/12/2017,LUX,8561,SCHWEBACH,ANGLAIS,LUXEMBOURGEOIS,,,,PRESSE,40,50
30/12/2017,LUX,5374,MUNSBACH,ANGLAIS,FRANCAIS,,,,FACEBOOK,26,40
30/12/2017,LUX,5772,WEILER LA TOUR,ANGLAIS,,,,,B.A.O.,25,31
31/12/2017,LUX,8077,BERTRANGE,ANGLAIS,FRANCAIS,,,,PRESSE,24,20
31/12/2017,LUX,3961,EHLANGE,ANGLAIS,LUXEMBOURGEOIS,,,,INTERNET,15,12
25/10/2017,FRA,54400,LONGWY,ARABE,FRANCAIS,,,,ECOLE,14,10
02/12/2017,LUX,4622,DIFFERDANGE,BELGE,LUXEMBOURGEOIS,,,,ECOLE,5,4
19/11/2017,LUX,5364,SCHRASSIG,ESTONIEN,FRANCAIS,,,,B.A.O.,28,38
14/10/2017,FRA,54680,CRUSNES  ERROUVILLE,FRANCAIS,an,,,,,24,31
14/10/2017,LUX,1467,HOWALD,FRANCAIS,,,,,,21,26
14/10/2017,FRA,54810,LONGLAVILLE,FRANCAIS,,,,,,10,5
14/10/2017,FRA,54650,SAULNES,FRANCAIS,,,,,,18,13
14/10/2017,LUX,8044,STRASSEN,FRANCAIS,,,,,,19,26
15/10/2017,LUX,4020,ESCH-SUR-ALZETTE,FRANCAIS,,,,,,11,10
15/10/2017,LUX,2652,Luxembourg,FRANCAIS,,,,,,23,26
15/10/2017,LUX,4420,SOLEUVRE,FRANCAIS,,,,,,6,4
15/10/2017,FRA,54190,VILLERUPT  TIERCELET,FRANCAIS,PORTUGAIS,,,,,17,12
20/10/2017,BEL,6791,Aubange,FRANCAIS,,,,,PRESSE,15,14
20/10/2017,LUX,4551,DIFFERDANGE,FRANCAIS,LUXEMBOURGEOIS,,,,PRESSE,5,4
20/10/2017,LUX,4020,ESCH-SUR-ALZETTE,FRANCAIS,LUXEMBOURGEOIS,,,,PRESSE,11,10
21/10/2017,LUX,4431,BELVAUX,FRANCAIS,LUXEMBOURGEOIS,,,,SITE,8,5
21/10/2017,LUX,9188,VICHTEN,FRANCAIS,LUXEMBOURGEOIS,,,,MEDIA,44,61
22/10/2017,LUX,1512,Luxembourg,FRANCAIS,ESPAGNOL,,,,FACEBOOK,23,26
22/10/2017,LUX,8028,STRASSEN,FRANCAIS,PORTUGAIS,,,,FACEBOOK,19,26
23/10/2017,LUX,8325,CAP,FRANCAIS,,,,,B.A.O.,23,17
23/10/2017,LUX,8023,STRASSEN,FRANCAIS,SUEDOIS,,,,B.A.O.,19,26
24/10/2017,FRA,57360,AMNEVILLE,FRANCAIS,,,,,B.A.O.,41,49
24/10/2017,LUX,4930,BASCHARAGE,FRANCAIS,DANOIS,,,,MEDIA,10,9
28/10/2017,LUX,8330,CAP,FRANCAIS,CHINOIS,,,,FACEBOOK,23,17
28/10/2017,LUX,4693,DIFFERDANGE,FRANCAIS,,,,,CURIOSITE,5,4
28/10/2017,LUX,2310,LUXEMBOURG,FRANCAIS,,,,,FACEBOOK,23,26
28/10/2017,LUX,1932,Luxembourg,FRANCAIS,ANGLAIS,,,,ENTREPRISE,23,26
29/10/2017,LUX,8086,BERTRANGE,FRANCAIS,BULGARE,,,,FACEBOOK,24,20
29/10/2017,LUX,9061,ETTELBRUCK,FRANCAIS,ROUMAIN,,,,FACEBOOK,44,62
29/10/2017,FRA,57970,LANDRES,FRANCAIS,,,,,FAMILLE,37,46
29/10/2017,LUX,1613,Luxembourg,FRANCAIS,ITALIEN,,,,FACEBOOK,23,26
29/10/2017,LUX,1450,Luxembourg,FRANCAIS,ITALIEN,,,,PRESSE,23,26
29/10/2017,LUX,2732,Luxembourg,FRANCAIS,,,,,PRESSE,23,26
29/10/2017,ROU,61022,N/A,FRANCAIS,ROUMAIN,,,,FACEBOOK,,
29/10/2017,LUX,3390,PEPPANGE,FRANCAIS,,,,,PRESSE,21,26
29/10/2017,FRA,54700,PONT-A-MOIUSSON,FRANCAIS,,,,,FACEBOOK,66,101
29/10/2017,LUX,5369,SCHUTTRANGE,FRANCAIS,,,,,B.A.O.,30,42
30/10/2017,LUX,8531,ELL,FRANCAIS,,,,,PRESSE,37,37
30/10/2017,LUX,4353,ESCH-SUR-ALZETTE,FRANCAIS,ITALIEN,,,,FACEBOOK,11,10
30/10/2017,LUX,1520,Luxembourg,FRANCAIS,,,,,FACEBOOK,23,26
30/10/2017,LUX,1880,Luxembourg,FRANCAIS,,,,,FACEBOOK,23,26
01/11/2017,LUX,8383,CAP,FRANCAIS,GREC,,,,INTERNET,23,17
01/11/2017,FRA,57700,HAYANGE,FRANCAIS,,,,,AMIS,31,46
01/11/2017,LUX,6839,LELLIG,FRANCAIS,,,,,INTERNET,41,59
02/11/2017,LUX,1254,Luxembourg,FRANCAIS,GREC,,,,FACEBOOK,23,26
02/11/2017,LUX,8613,PRATZ,FRANCAIS,LUXEMBOURGEOIS,,,,INTERNET,48,58
03/11/2017,LUX,4571,DIFFERDANGE,FRANCAIS,,,,,,5,4
03/11/2017,LUX,4620,DIFFERDANGE,FRANCAIS,LUXEMBOURGEOIS,,,,,5,4
03/11/2017,LUX,8360,GOETZINGEN,FRANCAIS,LUXEMBOURGEOIS,,,,B.A.O.,24,34
03/11/2017,BEL,6780,Messancy,FRANCAIS,,,,,PUB,17,17
04/11/2017,LUX,4570,DIFFERDANGE,FRANCAIS,LUXEMBOURGEOIS,,,,PUB,5,4
04/11/2017,LUX,3583,DUDELANGE,FRANCAIS,LUXEMBOURGEOIS,,,,MEDIA,19,23
04/11/2017,LUX,2624,Luxembourg,FRANCAIS,LITUANIEN,,,,INTERNET ,23,26
04/11/2017,LUX,4440,SOLEUVRE,FRANCAIS,LUXEMBOURGEOIS,,,,MEDIA,6,4
04/11/2017,LUX,8011,STRASSEN,FRANCAIS,LUXEMBOURGEOIS,,,,MEDIA,19,26
05/11/2017,LUX,4574,DIFFERDANGE,FRANCAIS,PORTUGAIS,,,,PUB,5,4
05/11/2017,LUX,8367,HAGEN,FRANCAIS,ITALIEN,,,,INTERNET,25,19
05/11/2017,LUX,5850,HOWALD,FRANCAIS,CATALAN,,,,FACEBOOK,21,26
05/11/2017,LUX,2629,Luxembourg,FRANCAIS,LUXEMBOURGEOIS,,,,CULTURE,23,26
10/11/2017,FRA,92000,NANTERRE,FRANCAIS,,,,,TOURISME ,228,360
11/11/2017,LUX,4548,DIFFERDANGE,FRANCAIS,PORTUGAIS,,,,B.A.O.,5,4
11/11/2017,LUX,4170,ESCH-SUR-ALZETTE,FRANCAIS,PORTUGAIS,LUXEMBOURGEOIS,,,FACEBOOK,11,10
11/11/2017,FRA,57330,HETTANGE-GRANDE,FRANCAIS,,,,,FACEBOOK,25,35
11/11/2017,FRA,57130,Jouy-aux-Arches,FRANCAIS,,,,,INTERNET,55,82
11/11/2017,LUX,2428,Luxembourg,FRANCAIS,POLONAIS,,,,B.A.O.,23,26
11/11/2017,LUX,5367,SCHUTTRANGE,FRANCAIS,POLONAIS,,,,INTERNET,30,42
11/11/2017,FRA,57480,Sierck-les-Bains,FRANCAIS,,,,,INTERNET,35,50
12/11/2017,BEL,6717,Attert,FRANCAIS,,,,,INTERNET,34,35
12/11/2017,LUX,3322,BIVANGE,FRANCAIS,,,,,FACEBOOK,21,26
12/11/2017,LUX,3327,CRAUTHEM,FRANCAIS,LUXEMBOURGEOIS,,,,PUB,22,26
12/11/2017,LUX,3347,LEUDELANGE,FRANCAIS,LUXEMBOURGEOIS,,,,FACEBOOK,16,19
12/11/2017,LUX,1374,Luxembourg,FRANCAIS,ITALIEN,,,,B.A.O.,23,26
12/11/2017,LUX,8230,MAMER,FRANCAIS,ITALIEN,,,,INTERNET,24,19
12/11/2017,LUX,8390,NOSPELT,FRANCAIS,,,,,INTERNET,26,36
12/11/2017,LUX,8824,PERLE,FRANCAIS,,,,,INTERNET,40,45
12/11/2017,LUX,3775,TETANGE,FRANCAIS,PORTUGAIS,,,,INTERNET,16,18
12/11/2017,FRA,57100,THIONVILLE,FRANCAIS,,,,,B.A.O.,32,42
14/11/2017,LUX,4383,EHLERANGE,FRANCAIS,LUXEMBOURGEOIS,,,,B.A.O.,9,7
17/11/2017,LUX,4601,DIFFERDANGE,FRANCAIS,LUXEMBOURGEOIS,,,,B.A.O.,5,4
18/11/2017,LUX,4551,DIFFERDANGE,FRANCAIS,ALBANAIS,,,,B.A.O.,5,4
18/11/2017,LUX,4638,DIFFERDANGE,FRANCAIS,LUXEMBOURGEOIS,,,,B.A.O.,5,4
18/11/2017,FRA,57480,Sierck-les-Bains,FRANCAIS,,,,,INTERNET,35,50
18/11/2017,FRA,57100,THIONVILLE,FRANCAIS,,,,,B.A.O.,32,42
19/11/2017,LUX,4640,DIFFERDANGE,FRANCAIS,LUXEMBOURGEOIS,,,,ECOLE,5,4
20/11/2017,LUX,6990,RAMELDANGE,FRANCAIS,ANGLAIS,,,,INTERNET,27,38
23/11/2017,LUX,4574,DIFFERDANGE,FRANCAIS,LUXEMBOURGEOIS,,,,INTERNET,5,4
24/11/2017,LUX,6962,SENNINGEN,FRANCAIS,ANGLAIS,,,,FACEBOOK,28,39
25/11/2017,LUX,4597,DIFFERDANGE,FRANCAIS,ARABE,,,,ECOLE,5,4
