DATE,PAYS,CODE_POSTAL,LOCALITE,LANGUE_MATERNELLE,LANGUE_VEHICULAIRE,COMMENT_NOUS_AVEZ_VOUS_DECOUVERT,MIN,KM
27/01/2019,LUX,5837,ALZINGEN,FRANCAIS,FRANCAIS,2e_visite,23,26
29/01/2019,LUX,1727,LUXEMBOURG,ESPAGNOL,FRANCAIS,2e_visite,19,24.3
03/02/2019,DNK,54331,PELLINGEN,ANGLAIS/ALLEMAND,,2e_visite,57,78.6
03/02/2019,LUX,2542,LUXEMBOURG,HONGROIS,ANGLAIS,2e_visite,29,31.7
03/02/2019,DEU,54309,NEWEL,ALLEMAND,LUXEMBOURGEOIS,2e_visite,50,75.2
03/02/2019,LUX,4665,OBERKORN,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS,2e_visite,7,2.5
06/02/2019,DEU,66706,NENNING,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,33,43
09/02/2019,LUX,3543,DUDELANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,18,19
09/02/2019,LUX,3882,SCHIFFLANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,14,13
09/02/2019,DEU,54439,SARREBOURG,ALLEMAND,ALLEMAND,2e_visite,48,64
09/02/2019,LUX,8213,MAMER,FRANCAIS,ALLEMAND/LUXEMBOURGEOIS ,2e_visite,26,20
09/02/2019,LUX,4384,EHLERANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,10,8.8
09/02/2019,LUX,4505,NIEDERKORN,FRANCAIS,FRANCAIS,2e_visite,4,1.0
10/02/2019,FRA,54400,COSNES-ET-ROMAINS,FRANCAIS,FRANCAIS,2e_visite,22,21
10/02/2019,LUX,2441,LUXEMBOURG,HONGROIS,FRANCAIS,2e_visite,22,28
10/02/2019,LUX,1510,LUXEMBOURG,FRANCAIS,FRANCAIS,2e_visite,17,24
10/02/2019,LUX,3960,EHLANGE-SUR-MESS,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,14,16
10/02/2019,LUX,3589,DUDELANGE,PORTUGAIS,LUXEMBOURGEOIS,2e_visite,15,18
10/02/2019,LUX,2124,LUXEMBOURG,ESPAGNOL,FRANCAIS,2e_visite,26,29
10/02/2019,LUX,3236,BETTEMBOURG,ALLEMAND,ALLEMAND,2e_visite,18,20
10/02/2019,LUX,3638,KAYL,LUXEMBOURGEOIS,ALLEMAND,2e_visite,17,14
12/02/2019,FRA,57390,RUSSANGE,FRANCAIS,FRANCAIS,2e_visite,16,9.9
14/02/2019,LUX,8826,PERLE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,43,44.7
14/02/2019,FRA,54910,VALLEROY,FRANCAIS,ANGLAIS,2e_visite,50,46.7
16/02/2019,LUX,2148,LUXEMBOURG,PORTUGAIS,ANGLAIS,2e_visite,29,34.7
17/02/2019,FRA,54400,COSNES-ET-ROMAINS,FRANCAIS,ANGLAIS,2e_visite,23,20.5
18/02/2019,FRA,54580,MOINEVILLE,FRANCAIS,FRANCAIS,2e_visite,57,54.7
18/02/2019,LUX,1872,LUXEMBOURG,HINDI,ANGLAIS,2e_visite,24,25.5
19/02/2019,LUX,8140,BRIDEL,LUXEMBOURGEOIS,ALLEMAND,2e_visite,26,31.4
19/02/2019,LUX,4059,ESCH-SUR-ALZETTE ,LUXEMBOURGEOIS,FRANCAIS,2e_visite,14,10.9
20/02/2019,LUX,9165,MERSCHEID,ANGLAIS,LUXEMBOURGEOIS,2e_visite,63,53.4
20/02/2019,BEL,6700,ARLON,FRANCAIS,LUXEMBOURGEOIS,2e_visite,34,25.9
21/02/2019,FRA,57070,METZ,FRANCAIS,ANGLAIS,2e_visite,52,73.2
22/02/2019,LUX,8084,BERTRANGE,FRANCAIS,ANGLAIS,2e_visite,26,20.2
23/02/2019,LUX,4154,ESCH/ALZETTE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,16,8.1
23/02/2019,LUX,5549,REMICH,LUXEMBOURGEOIS,FRANCAIS,2e_visite,35,40
24/02/2019,LUX,5850,HOWALD,CATALAN,FRANCAIS,2e_visite,21,26
02/03/2019,FRA,13005,MARSEILLE,FRANCAIS,ANGLAIS,2e_visite,,
02/03/2019,BEL,6760,VIRTON,FRANCAIS,ANGLAIS,2e_visite,41,31.3
02/03/2019,LUX,4955,BASCHARAGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,12,7
02/03/2019,LUX,1476,HOWALD,FRANCAIS,ANGLAIS,2e_visite,22,26.5
02/03/2019,LUX,1940,LUXEMBOURG,FRANCAIS,ANGLAIS,2e_visite,21,24.9
03/03/2019,LUX,3454,DUDELANGE,LUXEMBOURGEOIS,ALLEMAND,2e_visite,19,23.3
03/03/2019,BEL,6700,ARLON,FRANCAIS,ANGLAIS/NERLANDAIS,2e_visite,29,26.3
07/03/2019,BEL,6810,CHINY,FRANCAIS,ANGLAIS,2e_visite,56,57.5
16/03/2019,FRA,57570,MONDORFF,FRANCAIS,ANGLAIS,2e_visite,34,36
17/03/2019,LUX,1944,LUXEMBOURG,ALLEMAND/FRANCAIS,ANGLAIS/LUXEMBOURGEOIS,2e_visite,21,26.3
17/03/2019,LUX,3762,TETANGE,LUXEMBOURGEOIS,ALLEMAND,2e_visite,17,18.4
17/03/2019,LUX,4411,SOLEUVRE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,6,3.7
17/03/2019,LUX,4760,PETANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,8,4.6
30/03/2019,LUX,5323,CONTERN,SUEDOIS,ANGLAIS,2e_visite,29,36.3
07/04/2019,LUX,2265,LUXEMBOURG,ROUMAIN,FRANCAIS,2e_visite,19,25
08/04/2019,LUX,4061,ESCH-SUR-ALZETTE ,ANGLAIS,FRANCAIS,2e_visite,15,8.1
08/04/2019,AUS,6010,SWANBOURNE,ANGLAIS,ALLEMAND,2e_visite,,
09/04/2019,LUX,3550,DUDELANGE,LETTON,RUSSE,2e_visite,21,19.5
09/04/2019,FRA,57365,FLEVY,FRANCAIS,ANGLAIS,2e_visite,51,55.6
09/04/2019,FRA,55700,BEAUCLAIR,FRANCAIS,ANGLAIS,2e_visite,75,64.3
09/04/2019,FRA,55100,BEAUMONT-EN-VERDUNIERS,FRANCAIS,ANGLAIS,2e_visite,76,74.3
10/04/2019,LUX,3216,BETTEMBOURG,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS,2e_visite,21,24.2
11/04/2019,LUX,4613,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,6,1.9
13/04/2019,LUX,7307,STEINSEL,ANGLAIS/LUXEMBOURGEOIS,ALLEMAND/FRANCAIS,2e_visite,31,35.7
14/04/2019,LUX,4640,DIFFERDANGE,PORTUGAIS,FRANCAIS,2e_visite,4,0.9
15/04/2019,LUX,6975,RAMELDANGE,ANGLAIS,ALLEMAND,2e_visite,35,40
16/04/2019,FRA,57150,CREUTZWALD,FRANCAIS,ALLEMAND,2e_visite,68,98.8
17/04/2019,LUX,3870,SCHIFFLANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,14,13.2
17/04/2019,FRA,57180,TERVILLE,FRANCAIS,FRANCAIS,2e_visite,36,38.4
17/04/2019,LUX,4915,KAERJENG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,13,7.6
18/04/2019,LUX,8086,BERTRANGE,ANGLAIS,ESPAGNOL,2e_visite,27,20.3
18/04/2019,LUX,2128,LUXEMBOURG,SLOVENE,FRANCAIS,2e_visite,22,24.6
18/04/2019,LUX,2167,LUXEMBOURG,ANGLAIS,FRANCAIS,2e_visite,31,35.4
22/04/2019,LUX,2440,LUXEMBOURG,ANGLAIS,FRANCAIS,2e_visite,24,27.9
22/04/2019,LUX,8079,BERTRANGE,FRANCAIS,NERLANDAIS,2e_visite,23,19.2
25/04/2019,LUX,8096,BERTRANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,26,27
28/04/2019,LUX,2539,LUXEMBOURG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,26,32.1
28/04/2019,FRA,57000,METZ,FRANCAIS,ANGLAIS,2e_visite,50,69.1
04/05/2019,LUX,7220,WALFERDANGE,ROUMAIN,FRANCAIS,2e_visite,29,35
04/05/2019,LUX,1250,LUXEMBOURG,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,26,27
04/05/2019,LUX,4540,DIFFERDANGE,PORTUGAIS,FRANCAIS,2e_visite,3,1
04/05/2019,FRA,51530,CHAVOT - COURCOURT,FRANCAIS,FRANCAIS,2e_visite,,
04/05/2019,LUX,4088,LAMADELAINE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,13,8.7
09/05/2019,LUX,9061,ETTELBRUCK,ROUMAIN,FRANCAIS,2e_visite,46,62
09/05/2019,LUX,1336,LUXEMBOURG,ROUMAIN,FRANCAIS,2e_visite,30,35
09/05/2019,LUX,4640,DIFFERDANGE,PORTUGAIS,FRANCAIS,2e_visite,2,90
09/05/2019,LUX,3442,DUDELANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,22,22
11/05/2019,FRA,57070,METZ,ITALIEN,FRANCAIS,2e_visite,49,73.2
11/05/2019,FRA,54350,MONT-SAINT-MARTIN,FRANCAIS,ANGLAIS,2e_visite,19,13.8
11/05/2019,LUX,3390,PEPPANGE,ANGLAIS/LUXEMBOURGEOIS,FRANCAIS,2e_visite,22,26.4
11/05/2019,LUX,4460,BELVAUX,LUXEMBOURGEOIS,FRANCAIS,2e_visite,7,3.8
17/05/2019,LUX,5231,SANDWEILER,FRANCAIS,ANGLAIS,2e_visite,32,32.8
18/05/2019,LUX,1947,LUXEMBOURG,ALLEMAND/FRANCAIS,FRANCAIS,2e_visite,26,33
19/05/2019,LUX,4601,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,6,2
19/05/2019,LUX,1117,LUXEMBOURG,FRANCAIS,FRANCAIS,2e_visite,21,23
19/05/2019,LUX,8079,BERTRANGE,NERLANDAIS,FRANCAIS,2e_visite,23,25
19/05/2019,FRA,57000,METZ,FRANCAIS,FRANCAIS,2e_visite,47,68
19/05/2019,LUX,8025,STRASSEN,ESPAGNOL,FRANCAIS,2e_visite,21,25
20/05/2019,FRA,57290,FAMECK,FRANCAIS,ALLEMAND,2e_visite,34,38
25/05/2019,LUX,7307,STEINSEL,ANGLAIS,ANGLAIS,2e_visite,30,35
25/05/2019,LUX,3397,ROESER,FRANCAIS,ALLEMAND,2e_visite,24,27
25/05/2019,LUX,4450,BELVAUX,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,9,5
26/05/2019,LUX,2626,LUXEMBOURG,FRANCAIS,FRANCAIS,2e_visite,24,34
27/05/2019,LUX,8088,BERTRANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,28,28
27/05/2019,LUX,4620,DIFFERDANGE,FRANCAIS,LUXEMBOURGEOIS,2e_visite,7,2
28/05/2019,LUX,4629,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,5,2
29/05/2019,LUX,4970,BETTANGE-SUR-MESS,LUXEMBOURGEOIS,FRANCAIS,2e_visite,17,13
30/05/2019,LUX,5374,MUNSBACH,FRANCAIS,LUXEMBOURGEOIS,2e_visite,29,40
01/06/2019,DEU,54309,NEWEL,ALLEMAND,ALLEMAND,2e_visite,48,77
08/06/2019,LUX,2210,LUXEMBOURG,ANGLAIS,FRANCAIS,2e_visite,30,24
08/06/2019,FRA,57180,TERVILLE,HONGROIS,ANGLAIS/FRANCAIS,2e_visite,32,39
08/06/2019,LUX,3353,LEUDELANGE,ANGLAIS,HINDI,2e_visite,23,19
09/06/2019,BEL,6700,ARLON,ROUMAIN,FRANCAIS,2e_visite,30,26
10/06/2019,LUX,5359,SCHUTTRANGE,FRANCAIS,FRANCAIS,2e_visite,34,44
12/06/2019,LUX,4734,PETANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,10,5
13/06/2019,LUX,1635,LUXEMBOURG,ALLEMAND,ALLEMAND,2e_visite,24,25
16/06/2019,FRA,57570,ESING,LUXEMBOURGEOIS,FRANCAIS,2e_visite,25,31
16/06/2019,LUX,1870,LUXEMBOURG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,20,12
23/06/2019,DEU,54309,TRIER,ALLEMAND,ALLEMAND,2e_visite,47,77
27/06/2019,FRA,57120,ROMBAS,FRANCAIS,FRANCAIS,2e_visite,46,51
01/07/2019,BEL,6700,ARLON,FRANCAIS,FRANCAIS,2e_visite,26,36
14/07/2019,BEL,6800,LIBRAMONT,FRANCAIS,FRANCAIS,2e_visite,50,71
15/07/2019,LUX,4475,BELVAUX,LUXEMBOURGEOIS,FRANCAIS,2e_visite,8,5
15/07/2019,FRA,57270,UCKANGE,FRANCAIS,FRANCAIS,2e_visite,41,46
15/07/2019,LUX,2739,LUXEMBOURG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,30,27
15/07/2019,LUX,3543,DUDELANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,20,19
17/07/2019,LUX,1355,LUXEMBOURG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,26,30
20/07/2019,LUX,4361,ESCH-SUR-ALZETTE ,RUSSE,FRANCAIS,2e_visite,13,7
20/07/2019,LUX,3863,SCHIFFLANGE,LUXEMBOURGEOIS,ALLEMAND,2e_visite,15,14
24/07/2019,LUX,4995,SCHOUWEILER,PORTUGAIS,LUXEMBOURGEOIS,2e_visite,16,98
24/07/2019,LUX,6617,WASSERBILLIG,ALLEMAND,FRANCAIS,2e_visite,58,60
26/07/2019,FRA,54870,UGNY,FRANCAIS,ANGLAIS,2e_visite,29,22
26/07/2019,LUX,6985,HOSTERT,LUXEMBOURGEOIS,FRANCAIS,2e_visite,32,38
27/07/2019,LUX,4211,ESCH-SUR-ALZETTE ,ESPAGNOL,FRANCAIS,2e_visite,13,7
27/07/2019,LUX,6799,GREVENMACHER,ALLEMAND,ALLEMAND,2e_visite,34,53
28/07/2019,LUX,9283,DIEKIRCH,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,46,67
28/07/2019,LUX,7511,ROLLINGEN,LUXEMBOURGEOIS,ALLEMAND,2e_visite,34,47
31/07/2019,LUX,1530,LUXEMBOURG,ANGLAIS/LUXEMBOURGEOIS,ALLEMAND,2e_visite,26,28
01/08/2019,LUX,5838,FENTANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,26,28
02/08/2019,LUX,5880,HESPERANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,22,27
05/08/2019,LUX,5143,MOUTFORT,RUSSE,ALLEMAND/ANGLAIS,2e_visite,28,37
06/08/2019,LUX,7524,MERSCH,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,36,51
07/08/2019,LUX,1357,LUXEMBOURG,UKRAINIEN,ANGLAIS,2e_visite,22,25
07/08/2019,FRA,57320,COLMEN,FRANCAIS,FRANCAIS,2e_visite,52,64
09/08/2019,LUX,1856,LUXEMBOURG,LUXEMBOURGEOIS,ALLEMAND,2e_visite,26,29
12/08/2019,LUX,5364,SCHUTTRANGE,FRANCAIS/LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,30,37
13/08/2019,LUX,3960,RECKANGE-SUR-MESS,LUXEMBOURGEOIS,ALLEMAND/ANGLAIS/FRANCAIS/ITALIEN,2e_visite,14,12
14/08/2019,LUX,8220,MAMER,FRANCAIS,ANGLAIS,2e_visite,23,18
16/08/2019,FRA,54430,REHON,FRANCAIS,FRANCAIS,2e_visite,22,19
17/08/2019,FRA,57270,UCKANGE,FRANCAIS,FRANCAIS,2e_visite,33,43
17/08/2019,LUX,8056,STRASSEN,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,22,20
17/08/2019,FRA,54190,VILLERUPT,FRANCAIS,FRANCAIS,2e_visite,17,12
18/08/2019,LUX,1638,SENNINGENBERG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,23,36
18/08/2019,LUX,2451,LUXEMBOURG,ITALIEN,LUXEMBOURGEOIS,2e_visite,19,25
20/08/2019,FRA,57100,THIONVILLE,FRANCAIS,FRANCAIS,2e_visite,35,42
20/08/2019,BEL,6792,ATHUS,FRANCAIS,FRANCAIS,2e_visite,16,8
22/08/2019,LUX,4510,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,3,2
22/08/2019,LUX,4510,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,3,2
25/08/2019,LUX,6718,GREVENMACHER,ANGLAIS/ITALIEN,FRANCAIS,2e_visite,36,54
27/08/2019,GBR,WD195HD,WATFORD,LETTON,ANGLAIS,2e_visite,,
28/08/2019,LUX,4025,ESCH-SUR-ALZETTE ,SERBE,ANGLAIS/FRANCAIS,2e_visite,12,10
28/08/2019,LUX,1145,LUXEMBOURG,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS,2e_visite,22,25
30/08/2019,LUX,5489,EHNEN,LUXEMBOURGEOIS,ALLEMAND,2e_visite,38,47
01/09/2019,LUX,5760,HASSEL,FRANCAIS,ANGLAIS,2e_visite,26,32
03/09/2019,LUX,9170,MERTZIG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,51,62
03/09/2019,LUX,3721,RUMELANGE,ALLEMAND/FRANCAIS,ANGLAIS,2e_visite,21,20
03/09/2019,LUX,7381,BOFFERDINGEN,LUXEMBOURGEOIS,FRANCAIS,2e_visite,35,38
04/09/2019,LUX,4692,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,5,2
08/09/2019,LUX,8614,REIMBERG,FRANCAIS,ANGLAIS,2e_visite,47,41
09/09/2019,LUX,7257,WALFERDANGE,POLONAIS,ANGLAIS,2e_visite,33,26
10/09/2019,LUX,4460,SANEM,ROUMAIN,FRANCAIS,2e_visite,6,4
11/09/2019,BEL,6780,MESSANCY,FRANCAIS,ANGLAIS,2e_visite,26,17
14/09/2019,LUX,5238,SANDWEILER,FINLANDAIS,ANGLAIS,2e_visite,24,33
14/09/2019,LUX,9155,GROSBOUS,LUXEMBOURGEOIS,FRANCAIS,2e_visite,49,65
14/09/2019,LUX,5772,WEILER-LA-TOUR,LUXEMBOURGEOIS,ALLEMAND,2e_visite,24,31
14/09/2019,BEL,6790,AUBANGE,FRANCAIS,ARABE,2e_visite,18,13
22/09/2019,LUX,2611,HOWALD,FRANCAIS,ANGLAIS,2e_visite,21,26
28/09/2019,LUX,9154,GROSBOUS,ANGLAIS,FRANCAIS/LUXEMBOURGEOIS,2e_visite,50,66
28/09/2019,LUX,7249,BERELDANGE,HONGROIS,ANGLAIS,2e_visite,26,33
05/10/2019,LUX,1311,LUXEMBOURG,ESPAGNOL/PORTUGAIS,ANGLAIS,2e_visite,19,24
05/10/2019,LUX,4601,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,2,2
06/10/2019,LUX,8074,BERTRANGE,FRANCAIS,ANGLAIS,2e_visite,24,19
06/10/2019,LUX,2357,SENNINGERBERG,FRANCAIS,ANGLAIS,2e_visite,30,38
06/10/2019,LUX,4681,DIFFERDANGE,FRANCAIS,ANGLAIS,2e_visite,3,3
06/10/2019,LUX,5405,BECH-KLEINMACHER,LUXEMBOURGEOIS,ALLEMAND,2e_visite,31,40
06/10/2019,LUX,4437,SANEM,LUXEMBOURGEOIS,FRANCAIS,2e_visite,5,3
12/10/2019,LUX,1228,HOWALD,ESPAGNOL,ANGLAIS,2e_visite,23,26
12/10/2019,LUX,5756,FRISANGE,LUXEMBOURGEOIS,ALLEMAND,2e_visite,20,27
13/10/2019,LUX,9261,DIEKIRCH,LUXEMBOURGEOIS,FRANCAIS,2e_visite,47,67
17/10/2019,FRA,57290,FAMECK,FRANCAIS,ANGLAIS,2e_visite,32,37
19/10/2019,LUX,8265,MAMER,PORTUGAIS,FRANCAIS,2e_visite,26,19
19/10/2019,FRA,57270,UCKANGE,FRANCAIS,ANGLAIS,2e_visite,38,45
19/10/2019,LUX,5433,NIEDERDONVEN,SLOVAQUE,FRANCAIS,2e_visite,37,52
19/10/2019,FRA,57650,LOMMERANGE,FRANCAIS,ITALIEN,2e_visite,29,30
20/10/2019,LUX,6587,STEINHEIM,LUXEMBOURGEOIS,FRANCAIS,2e_visite,54,67
20/10/2019,LUX,4435,SANEM,LUXEMBOURGEOIS,FRANCAIS,2e_visite,7,5
21/10/2019,FRA,54720,CUTRY,FRANCAIS,FRANCAIS,2e_visite,31,21
22/10/2019,FRA,57570,HAGEN,FRANCAIS,ANGLAIS,2e_visite,40,37
23/10/2019,GBR,TN219HG,VINES CROSS,ANGLAIS,FRANCAIS,2e_visite,,
23/10/2019,LUX,7243,BERELDANGE,ANGLAIS,FRANCAIS,2e_visite,33,33
23/10/2019,FRA,57070,METZ,FRANCAIS,ANGLAIS,2e_visite,55,65
24/10/2019,FRA,57655,BOULANGE,FRANCAIS,ANGLAIS,2e_visite,30,27
25/10/2019,FRA,54730,VILLE-HOUDL‚MANT,FRANCAIS,ALLEMAND,2e_visite,36,26
26/10/2019,LUX,9132,SCHIEREN,LUXEMBOURGEOIS,ALLEMAND,2e_visite,46,62
27/10/2019,LUX,1254,LUXEMBOURG,ANGLAIS,MALTAIS,2e_visite,19,24
27/10/2019,LUX,1130,LUXEMBOURG,FRANCAIS,ANGLAIS,2e_visite,24,26
27/10/2019,BEL,6740,ETALLE,FRANCAIS,LUXEMBOURGEOIS,2e_visite,37,37
28/10/2019,LUX,8370,HOBSCHEID,ANGLAIS,FRANCAIS,2e_visite,31,24
28/10/2019,LUX,6161,BOURGLINSTER,ANGLAIS,FRANCAIS,2e_visite,40,45
28/10/2019,LUX,4947,SPRINKANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,16,10
28/10/2019,LUX,6793,GREVENMACHER,LUXEMBOURGEOIS,ALLEMAND,2e_visite,39,55
28/10/2019,LUX,4924,KAERJENG,LUXEMBOURGEOIS,ALLEMAND,2e_visite,14,7
28/10/2019,LUX,3422,DUDELANGE,PORTUGAIS,FRANCAIS,2e_visite,24,20
29/10/2019,LUX,3932,MONDERCANGE,RUSSE,ALLEMAND,2e_visite,15,11
29/10/2019,FRA,57100,THIONVILLE,FRANCAIS,FRANCAIS,2e_visite,41,39
30/10/2019,LUX,1742,LUXEMBOURG,ESPAGNOL/FRANCAIS/ITALIEN,ANGLAIS,2e_visite,28,30
30/10/2019,LUX,8230,MAMER,TCHEQUE,FRANCAIS,2e_visite,28,20
30/10/2019,LUX,4580,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,4,1
30/10/2019,LUX,4677,DIFFERDANGE,FRANCAIS,ANGLAIS,2e_visite,4,1
30/10/2019,LUX,8245,MAMER,LUXEMBOURGEOIS,ALLEMAND,2e_visite,28,20
30/10/2019,LUX,9132,SCHIEREN,LUXEMBOURGEOIS,FRANCAIS,2e_visite,58,56
30/10/2019,LUX,3468,DUDELANGE,FRANCAIS,LUXEMBOURGEOIS,2e_visite,24,25
30/10/2019,LUX,3486,DUDELANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,22,20
31/10/2019,LUX,1851,LUXEMBOURG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,24,25
01/11/2019,LUX,7242,HELMSANGE,ANGLAIS,FRANCAIS,2e_visite,31,35
01/11/2019,LUX,1354,LUXEMBOURG,TAMIL,ANGLAIS,2e_visite,27,32
02/11/2019,LUX,4465,SOLEUVRE,FRANCAIS,ANGLAIS,2e_visite,7,4
02/11/2019,LUX,3259,BETTEMBOURG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,22,24
02/11/2019,LUX,2368,ESCH-SUR-ALZETTE ,GRECQUE,ANGLAIS,2e_visite,12,7
03/11/2019,LUX,1263,LUXEMBOURG,LUXEMBOURGEOIS,FRANCAIS,2e_visite,25,26
03/11/2019,LUX,5359,SCHUTTRANGE,LUXEMBOURGEOIS,ALLEMAND,2e_visite,32,39
