DATE,PAYS,CODE,LOCALITE,LANGUE_MATERNELLE,LANGUE_VEHICULAIRE,COMMENT_NOUS_AVEZ_VOUS_DECOUVERT,MIN,KM
22/10/2017,LUX,1512,Luxembourg,ESPAGNOL,FRANCAIS,FACEBOOK,23,26
22/10/2017,LUX,1649,Luxembourg,ITALIEN,ANGLAIS,B.A.O.,23,26
22/10/2017,LUX,1519,Luxembourg,ALLEMAND,ALLEMAND,B.A.O.,23,26
22/10/2017,LUX,8028,STRASSEN,PORTUGAIS,FRANCAIS,FACEBOOK,19,26
22/10/2017,LUX,9545,WILTZ,FRANCAIS,ANGLAIS,FACEBOOK,50,64
23/10/2017,ITA,BERGAMO,BERGAMO,ITALIEN,ITALIEN,B.A.O.,,
23/10/2017,LUX,8135,BRIDEL,ANGLAIS,ANGLAIS,B.A.O.,23,31
23/10/2017,LUX,8325,CAP,FRANCAIS,FRANCAIS,B.A.O.,23,17
23/10/2017,LUX,8352,DAHLEM,ANGLAIS,ANGLAIS,B.A.O.,17,16
23/10/2017,LUX,2535,Luxembourg,ANGLAIS,ANGLAIS,B.A.O.,23,26
23/10/2017,LUX,1541,Luxembourg,ANGLAIS,,B.A.O.,23,26
23/10/2017,LUX,2542,Luxembourg,ANGLAIS,,B.A.O.,23,26
23/10/2017,LUX,2270,Luxembourg,FLAMAND,,B.A.O.,23,26
23/10/2017,LUX,1516,Luxembourg,ALLEMAND,ALLEMAND,B.A.O.,23,26
23/10/2017,LUX,7343,STEINSEL,SUEDOIS,,B.A.O.,30,36
23/10/2017,LUX,8023,STRASSEN,SUEDOIS,FRANCAIS,B.A.O.,19,26
24/10/2017,FRA,57360,AMNêVILLE,FRANCAIS,FRANCAIS,B.A.O.,41,49
24/10/2017,LUX,4930,BASCHARAGE,FRANCAIS/DANOIS,FRANCAIS,MEDIA,10,9
24/10/2017,LUX,3346,LEUDELANGE,LUXEMBOURGEOIS,ALLEMAND,FACEBOOK,16,19
24/10/2017,FRA,57270,RICHEMONT  UCKANGE,FRANCAIS,ANGLAIS/ARABE/FRANCAIS,FACEBOOK,36,54
24/10/2017,ITA,10036,SETTIMO TORINESE,ITALIEN,ANGLAIS,TOURISME ,,
25/10/2017,FRA,54400,LONGWY,FRANCAIS,ARABE,ECOLE,14,10
26/10/2017,DEU,33610,N/A,ALLEMAND,ANGLAIS/FRANCAIS,TOURISME ,,
28/10/2017,LUX,7213,BERELDANGE,ANGLAIS,ANGLAIS/FRANCAIS,FACEBOOK,26,33
28/10/2017,LUX,8063,BERTRANGE,NORVEGIEN,ANGLAIS/FRANCAIS,FACEBOOK,24,20
28/10/2017,LUX,8330,CAP,CHINOIS,FRANCAIS,FACEBOOK,23,17
28/10/2017,LUX,4693,DIFFERDANGE,FRANCAIS,FRANCAIS,CURIOSITE,5,4
28/10/2017,LUX,2518,Luxembourg,LITUANIEN,ANGLAIS/FRANCAIS,PRESSE,23,26
28/10/2017,LUX,2310,LUXEMBOURG,FRANCAIS,FRANCAIS,FACEBOOK,23,26
28/10/2017,LUX,1948,Luxembourg,ANGLAIS,ANGLAIS,FACEBOOK,23,26
28/10/2017,LUX,1932,Luxembourg,FRANCAIS/ANGLAIS,FRANCAIS,ENTREPRISE,23,26
28/10/2017,GBR,TW14RG,N/A,ANGLAIS,ANGLAIS,FACEBOOK,,
28/10/2017,LUX,4439,SOLEUVRE,RUSSE,ALLEMAND/FRANCAIS,B.A.O.,6,4
29/10/2017,LUX,8055,BERTRANGE,PORTUGAIS,ANGLAIS/FRANCAIS,B.A.O.,24,20
29/10/2017,LUX,8086,BERTRANGE,BULGARE,FRANCAIS,FACEBOOK,24,20
29/10/2017,LUX,4521,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,CURIOSITE,5,4
29/10/2017,LUX,4665,DIFFERDANGE,RUSSE,ANGLAIS,FACEBOOK,5,4
29/10/2017,LUX,4626,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,5,4
29/10/2017,LUX,6470,ECHTERNACH,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,45,71
29/10/2017,LUX,4383,EHLERANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,9,7
29/10/2017,LUX,9061,ETTELBRUCK,ROUMAIN,FRANCAIS,FACEBOOK,44,62
29/10/2017,LUX,6722,GREVENMACHER,ROUMAIN,ANGLAIS/FRANCAIS,FACEBOOK,34,53
29/10/2017,LUX,7251,HELMSANGE,LITUANIEN,ANGLAIS/FRANCAIS,PRESSE,31,41
29/10/2017,LUX,8370,HOBSCHEID,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,33,24
29/10/2017,FRA,57970,LANDRES,FRANCAIS,FRANCAIS,FAMILLE,37,46
29/10/2017,LUX,2423,Luxembourg,ANGLAIS,ANGLAIS,FACEBOOK,23,26
29/10/2017,LUX,2629,Luxembourg,FRANCAIS,ANGLAIS/FRANCAIS,FACEBOOK,23,26
29/10/2017,LUX,1457,Luxembourg,LITUANIEN,ANGLAIS/FRANCAIS,FACEBOOK,23,26
29/10/2017,LUX,1750,Luxembourg,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,23,26
29/10/2017,LUX,1613,Luxembourg,ITALIEN,FRANCAIS/ITALIEN,FACEBOOK,23,26
29/10/2017,LUX,1450,Luxembourg,ITALIEN,FRANCAIS,PRESSE,23,26
29/10/2017,LUX,2732,Luxembourg,FRANCAIS,FRANCAIS,PRESSE,23,26
29/10/2017,LUX,8232,MAMER,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,24,19
29/10/2017,ROU,16320,N/A,ROUMAIN,ANGLAIS/FRANCAIS,FACEBOOK,,
29/10/2017,ROU,61022,N/A,ROUMAIN,FRANCAIS/ROUMAIN,FACEBOOK,,
29/10/2017,LUX,3390,PEPPANGE,FRANCAIS,FRANCAIS,PRESSE,21,26
29/10/2017,FRA,54700,PONT-A-MOIUSSON,FRANCAIS,FRANCAIS,FACEBOOK,66,101
29/10/2017,LUX,4989,SANEM,LUXEMBOURGEOIS/RUSSE,LUXEMBOURGEOIS,FACEBOOK,7,6
29/10/2017,LUX,5369,SCHUTTRANGE,FRANCAIS,FRANCAIS,B.A.O.,30,42
29/10/2017,LUX,8042,STRASSEN,LUXEMBOURGEOIS/PORTUGAIS/ANGLAIS,LUXEMBOURGEOIS,FACEBOOK,19,26
29/10/2017,LUX,8024,STRASSEN,LITUANIEN,ANGLAIS/FRANCAIS,FACEBOOK,19,26
29/10/2017,LUX,9189,VICHTEN,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,44,61
29/10/2017,DEU,67661,WALDLEININGEN,ALLEMAND,ALLEMAND,FACEBOOK,115,182
30/10/2017,LUX,8079,BERTRANGE,ANGLAIS,ANGLAIS/LUXEMBOURGEOIS,FACEBOOK,24,20
30/10/2017,LUX,8531,ELL,FRANCAIS,FRANCAIS,PRESSE,37,37
30/10/2017,LUX,4353,ESCH-SUR-ALZETTE,ITALIEN,FRANCAIS/ITALIEN,FACEBOOK,11,10
30/10/2017,DEU,60594,FRANKFURT,ALLEMAND,ALLEMAND/ANGLAIS,FACEBOOK,170,281
30/10/2017,LUX,7335,HEISDORF,ANGLAIS,ANGLAIS/LUXEMBOURGEOIS,FACEBOOK,31,36
30/10/2017,LUX,1520,Luxembourg,FRANCAIS,FRANCAIS,FACEBOOK,23,26
30/10/2017,LUX,1880,Luxembourg,FRANCAIS,FRANCAIS,FACEBOOK,23,26
31/10/2017,FRA,78650,BEYNES,FRANCAIS,FRANCAIS ,INTERNET,243,385
31/10/2017,LUX,3440,DUDELANGE,AFRICAIN,ALLEMAND/ANGLAIS/LUXEMBOURGEOIS,FACEBOOK,19,23
01/11/2017,LUX,8055,BERTRANGE,ANGLAIS,ANGLAIS/FRANCAIS,INTERNET,24,20
01/11/2017,LUX,5407,BOUS,BULGARE,ANGLAIS/FRANCAIS,PRESSE,31,40
01/11/2017,LUX,8383,CAP,GREC,FRANCAIS,INTERNET,23,17
01/11/2017,LUX,3572,DUDELANGE,LUXEMBOURGEOIS,,,19,23
01/11/2017,FRA,57700,HAYANGE,FRANCAIS,FRANCAIS,AMIS,31,46
01/11/2017,LUX,6839,LELLIG,FRANCAIS,FRANCAIS,INTERNET,41,59
01/11/2017,LUX,5239,SANDWEILER,NEERLANDAIS,ANGLAIS/FRANCAIS,FACEBOOK,24,33
02/11/2017,LUX,4451,BELVAUX,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,8,5
02/11/2017,BEL,6721,Habay,FRANCAIS,ANGLAIS,FACEBOOK,36,40
02/11/2017,LUX,1254,Luxembourg,GREC,FRANCAIS,FACEBOOK,23,26
02/11/2017,LUX,8613,PRATZ,LUXEMBOURGEOIS,FRANCAIS,INTERNET,48,58
03/11/2017,LUX,9639,BOULAIDE,LUXEMBOURGEOIS,,B.A.O.,54,59
03/11/2017,LUX,4571,DIFFERDANGE,FRANCAIS,FRANCAIS,,5,4
03/11/2017,LUX,4620,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,,5,4
03/11/2017,LUX,8360,GOETZINGEN,LUXEMBOURGEOIS,FRANCAIS,B.A.O.,24,34
03/11/2017,LUX,8279,HOLZEM,LUXEMBOURGEOIS,ALLEMAND/ANGLAIS/FRANCAIS,MEDIA,21,16
03/11/2017,BEL,6780,Messancy,FRANCAIS,FRANCAIS,PUB,17,17
04/11/2017,LUX,4570,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,PUB,5,4
04/11/2017,LUX,3490,DUDELANGE,LUXEMBOURGEOIS,ALLEMAND,MEDIA,19,23
04/11/2017,LUX,3583,DUDELANGE,LUXEMBOURGEOIS,FRANCAIS,MEDIA,19,23
04/11/2017,LUX,4069,ESCH-SUR-ALZETTE,LUXEMBOIRGEOIS/PORTUGAIS,ALLEMAND,INTERNET,11,10
04/11/2017,LUX,6783,GREVENMACHER,LUXEMBOURGEOIS,ALLEMAND,ENTREPRISE,34,53
04/11/2017,LUX,2624,Luxembourg,LITUANIEN,FRANCAIS,INTERNET ,23,26
04/11/2017,BEL,4500,NAMUR,FRANCAIS,,GOOGLE ,93,152
04/11/2017,LUX,4394,PONTPIERRE,FRANCAIS,ANGLAIS,ECOLE,12,14
04/11/2017,LUX,4440,SOLEUVRE,LUXEMBOURGEOIS,FRANCAIS,MEDIA,6,4
04/11/2017,LUX,8011,STRASSEN,LUXEMBOURGEOIS,FRANCAIS,MEDIA,19,26
05/11/2017,LUX,7248,BERELDANGE,ANGLAIS,RUSSE,FACEBOOK,26,33
05/11/2017,LUX,4574,DIFFERDANGE,PORTUGAIS,FRANCAIS/PORTUGAIS,PUB,5,4
05/11/2017,LUX,4650,DIFFERDANGE,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS/LUXEMBOURGEOIS,CURIOSITE,5,4
05/11/2017,LUX,4580,DIFFERDANGE,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS/ITALIEN/LUXEMBOURGEOIS,CURIOSITE,5,4
05/11/2017,DEU,4570,DIFFERDANGE,LUXEMBOURGEOIS/ALLEMAND,ALLEMAND/LUXEMBOURGEOIS,INTERNET,5,4
05/11/2017,LUX,4687,DIFFERDANGE,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS/LUXEMBOURGEOIS,CURIOSITE,5,4
05/11/2017,LUX,6790,GREVENMACHER,LUXEMBOURGEOIS,ALLEMAND/ANGLAIS/FRANCAIS/LUXEMBOURGEOIS,B.A.O.,34,53
05/11/2017,LUX,8367,HAGEN,ITALIEN,FRANCAIS/ITALIEN,INTERNET,25,19
05/11/2017,FRA,57300,HAGONDANGE,FRANCAIS,ANGLAIS,B.A.O.,37,57
05/11/2017,LUX,7230,HELMSANGE,LUXEMBOURGEOIS,ALLEMAND/ANGLAIS/FRANCAIS/LUXEMBOURGEOIS,B.A.O.,31,41
05/11/2017,LUX,5850,HOWALD,CATALAN,FRANCAIS,FACEBOOK,21,26
05/11/2017,LUX,5953,ITZIG,ANGLAIS,POLONAIS,INTERNET,25,35
05/11/2017,LUX,5960,ITZIG,LUXEMBOURGEOIS,ALLEMAND/ANGLAIS/PORTUGAIS,INTERNET,25,35
05/11/2017,LUX,1618,Luxembourg,ROUMAIN,ANGLAIS/FRANCAIS,INTERNET,23,26
05/11/2017,LUX,2629,Luxembourg,LUXEMBOURGEOIS/FRANCAIS,FRANCAIS/LUXEMBOURGEOIS,CULTURE,23,26
05/11/2017,LUX,3939,MONDERCANGE,LUXEMBOURGEOIS/RUSSE,ALLEMAND,CURIOSITE,12,13
05/11/2017,BRA,,N/A,PORTUGAIS,ITALIEN,PUB,,
05/11/2017,LUX,6942,NIEDERANVEN,ALLEMAND,ALLEMAND/ANGLAIS/FRANCAIS/LUXEMBOURGEOIS,B.A.O.,27,41
05/11/2017,LUX,4760,PETANGE,LUXEMBOURGEOIS,ALLEMAND/ANGLAIS/FRANCAIS/LUXEMBOURGEOIS,INTERNET,9,6
05/11/2017,LUX,5376,UEBERSYREN,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS/LUXEMBOURGEOIS,AMIS,29,41
05/11/2017,LUX,5495,WINTRANGE,FRANCAIS,ALLEMAND,B.A.O.,30,39
06/11/2017,LUX,1111,Luxembourg,LUXEMBOURGEOIS,ALLEMAND/LUXEMBOURGEOIS,INTERNET,23,26
10/11/2017,FRA,92000,NANTERRE,FRANCAIS,FRANCAIS,TOURISME ,228,360
11/11/2017,LUX,4431,BELVAUX,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,8,5
11/11/2017,LUX,8096,BERTRANGE,ANGLAIS,ANGLAIS,INTERNET,24,20
11/11/2017,LUX,4548,DIFFERDANGE,PORTUGAIS,FRANCAIS,B.A.O.,5,4
11/11/2017,LUX,4601,DIFFERDANGE,BANGLADESH,LUXEMBOURGEOIS,FACEBOOK,5,4
11/11/2017,LUX,4570,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,5,4
11/11/2017,LUX,4520,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,CURIOSITE,5,4
11/11/2017,LUX,4522,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,5,4
11/11/2017,LUX,4002,ESCH-SUR-ALZETTE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,11,10
11/11/2017,LUX,4170,ESCH-SUR-ALZETTE,PORTUGAIS,FRANCAIS/LUXEMBOURGEOIS,FACEBOOK,11,10
11/11/2017,FRA,57330,HETTANGE-GRANDE,FRANCAIS,FRANCAIS,FACEBOOK,25,35
11/11/2017,LUX,1232,HOWALD,LUXEMBOURGEOIS,LUXEMBOURGEOIS,PUB,21,26
11/11/2017,FRA,57130,Jouy-aux-Arches,FRANCAIS,FRANCAIS,INTERNET,55,82
11/11/2017,LUX,3670,KAYL,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,14,17
11/11/2017,LUX,3352,LEUDELANGE,ALLEMAND/ANGLAIS,ALLEMAND,B.A.O.,16,19
11/11/2017,LUX,2428,Luxembourg,FRANCAIS/POLONAIS,FRANCAIS,B.A.O.,23,26
11/11/2017,LUX,2231,Luxembourg,ANGLAIS,ANGLAIS,INTERNET,23,26
11/11/2017,LUX,2435,Luxembourg,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,23,26
11/11/2017,LUX,2504,LUxembourg,ANGLAIS,ANGLAIS/FRANCAIS,INTERNET,23,26
11/11/2017,LUX,3940,MONDERCANGE,ANGLAIS,ANGLAIS,B.A.O.,12,13
11/11/2017,LUX,5367,SCHUTTRANGE,POLONAIS,FRANCAIS,INTERNET,30,42
11/11/2017,FRA,57480,Sierck-les-Bains,FRANCAIS,FRANCAIS,INTERNET,35,50
11/11/2017,LUX,4418,SOLEUVRE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,6,4
12/11/2017,BEL,6717,Attert,FRANCAIS,FRANCAIS,INTERNET,34,35
12/11/2017,LUX,3322,BIVANGE,FRANCAIS,FRANCAIS,FACEBOOK,21,26
12/11/2017,LUX,3327,CRAUTHEM,LUXEMBOURGEOIS,FRANCAIS/LUXEMBOURGEOIS,PUB,22,26
12/11/2017,DEU,54338,CUSTINES,ALLEMAND,ALLEMAND,INTERNET,73,117
12/11/2017,LUX,4665,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,5,4
12/11/2017,LUX,4570,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,5,4
12/11/2017,LUX,4535,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,5,4
12/11/2017,LUX,4514,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,5,4
12/11/2017,LUX,4638,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,5,4
12/11/2017,LUX,4032,ESCH-SUR-ALZETTE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,11,10
12/11/2017,LUX,5828,FENTANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,23,27
12/11/2017,LUX,5427,GREIVELDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,35,46
12/11/2017,LUX,3643,KAYL,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,14,17
12/11/2017,LUX,3347,LEUDELANGE,LUXEMBOURGEOIS,FRANCAIS/LUXEMBOURGEOIS,FACEBOOK,16,19
12/11/2017,LUX,1374,Luxembourg,ITALIEN,FRANCAIS,B.A.O.,23,26
12/11/2017,LUX,2734,Luxembourg,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,23,26
12/11/2017,LUX,8230,MAMER,ITALIEN,FRANCAIS/ITALIEN,INTERNET,24,19
12/11/2017,CHE,,N/A,SUEDOIS,ANGLAIS,FACEBOOK,,
12/11/2017,LUX,8390,NOSPELT,FRANCAIS,FRANCAIS,INTERNET,26,36
12/11/2017,LUX,8824,PERLE,FRANCAIS,FRANCAIS,INTERNET,40,45
12/11/2017,LUX,4779,PETANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,9,6
12/11/2017,LUX,3712,RUMELANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,18,40
12/11/2017,LUX,8561,SCHWEBACH,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,40,50
12/11/2017,LUX,4418,SOLEUVRE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,INTERNET,6,4
12/11/2017,LUX,3775,TETANGE,PORTUGAIS,FRANCAIS/PORTUGAIS,INTERNET,16,18
12/11/2017,FRA,57100,THIONVILLE,FRANCAIS,FRANCAIS,B.A.O.,32,42
12/11/2017,LUX,5376,UEBERSYREN,SUEDOIS,ANGLAIS/FRANCAIS,FACEBOOK,29,41
12/11/2017,LUX,7680,WALDBILLIG,ANGLAIS,LUXEMBOURGEOIS,FACEBOOK,45,57
12/11/2017,LUX,6590,WEILERBACH,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,49,65
14/11/2017,LUX,5687,DALHEIM,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,17,16
14/11/2017,LUX,4570,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,PRESSE,5,4
14/11/2017,LUX,4383,EHLERANGE,LUXEMBOURGEOIS,FRANCAIS,B.A.O.,9,7
17/11/2017,LUX,4601,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,B.A.O.,5,4
17/11/2017,LUX,7424,ESSINGEN,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,39,55
18/11/2017,LUX,5405,BECH-KLEINMACHER,PORTUGAIS,LUXEMBOURGEOIS,B.A.O.,31,40
18/11/2017,LUX,4551,DIFFERDANGE,ALBANAIS,FRANCAIS,B.A.O.,5,4
18/11/2017,LUX,4638,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,B.A.O.,5,4
18/11/2017,FRA,57480,Sierck-les-Bains,FRANCAIS,FRANCAIS,INTERNET,35,50
18/11/2017,FRA,57100,THIONVILLE,FRANCAIS,FRANCAIS,B.A.O.,32,42
18/11/2017,LUX,5376,UEBERSYREN,FRANCAIS,ANGLAIS,FACEBOOK,29,41
19/11/2017,LUX,4687,DIFFERDANGE,LUXEMBOURGEOIS,ALLEMAND,B.A.O.,5,4
19/11/2017,LUX,4640,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,ECOLE,5,4
19/11/2017,LUX,3373,LEUDELANGE,FRANCAIS,ANGLAIS,B.A.O.,16,19
19/11/2017,LUX,1642,Luxembourg,POLONAIS,ALLEMAND/ANGLAIS,INTERNET,23,26
19/11/2017,LUX,1117,Luxembourg,POLONAIS,ANGLAIS/HONGROIS,AMIS,23,26
19/11/2017,LUX,5636,MONDORF-LES-BAINS,RUSSE/ALLEMAND,LUXEMBOURGEOIS,INTERNET,24,34
19/11/2017,LUX,5364,SCHRASSIG,FRANCAIS,ESTONIEN,B.A.O.,28,38
20/11/2017,LUX,6990,RAMELDANGE,ANGLAIS,FRANCAIS,INTERNET,27,38
21/11/2017,LUX,4483,SOLEUVRE,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS,B.A.O.,6,4
23/11/2017,LUX,4574,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS,INTERNET,5,4
24/11/2017,LUX,6962,SENNINGEN,ANGLAIS,FRANCAIS,FACEBOOK,28,39
25/11/2017,LUX,4482,BELVAUX,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,8,5
25/11/2017,LUX,4976,BETTANGE-SUR-MESS,LUXEMBOURGEOIS,LUXEMBOURGEOIS,FACEBOOK,17,14
25/11/2017,LUX,4597,DIFFERDANGE,ARABE,FRANCAIS,ECOLE,5,4
25/11/2017,LUX,4570,DIFFERDANGE,LUXEMBOURGEOIS,FRANCAIS/LUXEMBOURGEOIS,INTERNET,5,4
25/11/2017,FRA,68190,Ensisheim,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,188,329
25/11/2017,LUX,8364,HAGEN,FRANCAIS,ALLEMAND/FRANCAIS,INTERNET,25,19
25/11/2017,LUX,3680,KAYL,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,14,17
25/11/2017,FRA,57860,RONCOURT,FRANCAIS,FRANCAIS,INTERNET,51,70
25/11/2017,LUX,4986,SANEM,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,7,6
26/11/2017,FRA,57440,ALGRANGE,FRANCAIS,ANGLAIS/FRANCAIS,B.A.O.,35,47
26/11/2017,LUX,3327,CRAUTHEM,LUXEMBOURGEOIS,FRANCAIS,B.A.O.,22,26
26/11/2017,LUX,9253,DIEKIRCH,LUXEMBOURGEOIS,LUXEMBOURGEOIS,B.A.O.,42,70
26/11/2017,LUX,4625,DIFFERDANGE,PORTUGAIS,FRANCAIS,B.A.O.,5,4
26/11/2017,LUX,4687,DIFFERDANGE,PORTUGAIS,LUXEMBOURGEOIS,B.A.O.,5,4
